Jour;Date;Date_Format_1;Flux;Commande;Capacitaire
Jeudi;14/09/2023;20230914;HLB;352;478,6573176
Jeudi;14/09/2023;20230914;Help Desk;19;0
Vendredi;15/09/2023;20230915;HLB;350;446,9617152
Vendredi;15/09/2023;20230915;Help Desk;19;0
Samedi;16/09/2023;20230916;HLB;232;235,03095
Samedi;16/09/2023;20230916;Help Desk;12;0
Dimanche;17/09/2023;20230917;HLB;0;0
Dimanche;17/09/2023;20230917;Help Desk;0;0
Lundi;18/09/2023;20230918;HLB;431;535,3333524
Lundi;18/09/2023;20230918;Help Desk;23;0
Mardi;19/09/2023;20230919;HLB;364;494,236512
Mardi;19/09/2023;20230919;Help Desk;20;0
Mercredi;20/09/2023;20230920;HLB;371;496,1167596
Mercredi;20/09/2023;20230920;Help Desk;20;0
Jeudi;21/09/2023;20230921;HLB;356;478,6573176
Jeudi;21/09/2023;20230921;Help Desk;19;0
Vendredi;22/09/2023;20230922;HLB;354;446,9617152
Vendredi;22/09/2023;20230922;Help Desk;19;0
Samedi;23/09/2023;20230923;HLB;234;235,03095
Samedi;23/09/2023;20230923;Help Desk;13;0
Dimanche;24/09/2023;20230924;HLB;0;0
Dimanche;24/09/2023;20230924;Help Desk;0;0
Lundi;25/09/2023;20230925;HLB;425;535,3333524
Lundi;25/09/2023;20230925;Help Desk;23;0
Mardi;26/09/2023;20230926;HLB;359;494,236512
Mardi;26/09/2023;20230926;Help Desk;19;0
Mercredi;27/09/2023;20230927;HLB;366;496,1167596
Mercredi;27/09/2023;20230927;Help Desk;20;0
Jeudi;28/09/2023;20230928;HLB;350;478,6573176
Jeudi;28/09/2023;20230928;Help Desk;19;0
Vendredi;29/09/2023;20230929;HLB;349;446,9617152
Vendredi;29/09/2023;20230929;Help Desk;19;0
Samedi;30/09/2023;20230930;HLB;231;235,03095
Samedi;30/09/2023;20230930;Help Desk;12;0
Dimanche;01/10/2023;20231001;HLB;0;0
Dimanche;01/10/2023;20231001;Help Desk;0;0
Lundi;02/10/2023;20231002;HLB;495;535,3333524
Lundi;02/10/2023;20231002;Help Desk;27;0
Mardi;03/10/2023;20231003;HLB;467;494,236512
Mardi;03/10/2023;20231003;Help Desk;26;0
Mercredi;04/10/2023;20231004;HLB;451;496,1167596
Mercredi;04/10/2023;20231004;Help Desk;25;0
Jeudi;05/10/2023;20231005;HLB;413;478,6573176
Jeudi;05/10/2023;20231005;Help Desk;23;0
Vendredi;06/10/2023;20231006;HLB;407;446,9617152
Vendredi;06/10/2023;20231006;Help Desk;23;0
Samedi;07/10/2023;20231007;HLB;293;235,03095
Samedi;07/10/2023;20231007;Help Desk;16;0
Dimanche;08/10/2023;20231008;HLB;0;0
Dimanche;08/10/2023;20231008;Help Desk;0;0
Lundi;09/10/2023;20231009;HLB;506;535,3333524
Lundi;09/10/2023;20231009;Help Desk;28;0
Mardi;10/10/2023;20231010;HLB;447;494,236512
Mardi;10/10/2023;20231010;Help Desk;25;0
Mercredi;11/10/2023;20231011;HLB;450;496,1167596
Mercredi;11/10/2023;20231011;Help Desk;25;0
Jeudi;12/10/2023;20231012;HLB;406;478,6573176
Jeudi;12/10/2023;20231012;Help Desk;23;0
Vendredi;13/10/2023;20231013;HLB;397;446,9617152
Vendredi;13/10/2023;20231013;Help Desk;22;0
Samedi;14/10/2023;20231014;HLB;289;235,03095
Samedi;14/10/2023;20231014;Help Desk;16;0
Dimanche;15/10/2023;20231015;HLB;0;0
Dimanche;15/10/2023;20231015;Help Desk;0;0
Lundi;16/10/2023;20231016;HLB;491;535,3333524
Lundi;16/10/2023;20231016;Help Desk;27;0
Mardi;17/10/2023;20231017;HLB;450;494,236512
Mardi;17/10/2023;20231017;Help Desk;25;0
Mercredi;18/10/2023;20231018;HLB;437;496,1167596
Mercredi;18/10/2023;20231018;Help Desk;24;0
Jeudi;19/10/2023;20231019;HLB;408;478,6573176
Jeudi;19/10/2023;20231019;Help Desk;23;0
Vendredi;20/10/2023;20231020;HLB;406;446,9617152
Vendredi;20/10/2023;20231020;Help Desk;23;0
Samedi;21/10/2023;20231021;HLB;289;235,03095
Samedi;21/10/2023;20231021;Help Desk;16;0
Dimanche;22/10/2023;20231022;HLB;0;0
Dimanche;22/10/2023;20231022;Help Desk;0;0
Lundi;23/10/2023;20231023;HLB;494;535,3333524
Lundi;23/10/2023;20231023;Help Desk;27;0
Mardi;24/10/2023;20231024;HLB;444;494,236512
Mardi;24/10/2023;20231024;Help Desk;25;0
Mercredi;25/10/2023;20231025;HLB;464;496,1167596
Mercredi;25/10/2023;20231025;Help Desk;26;0
Jeudi;26/10/2023;20231026;HLB;431;478,6573176
Jeudi;26/10/2023;20231026;Help Desk;24;0
Vendredi;27/10/2023;20231027;HLB;421;446,9617152
Vendredi;27/10/2023;20231027;Help Desk;23;0
Samedi;28/10/2023;20231028;HLB;298;235,03095
Samedi;28/10/2023;20231028;Help Desk;17;0
Dimanche;29/10/2023;20231029;HLB;0;0
Dimanche;29/10/2023;20231029;Help Desk;0;0
Lundi;30/10/2023;20231030;HLB;501;535,3333524
Lundi;30/10/2023;20231030;Help Desk;28;0
Mardi;31/10/2023;20231031;HLB;414;494,236512
Mardi;31/10/2023;20231031;Help Desk;23;0
Mercredi;01/11/2023;20231101;HLB;0;0
Mercredi;01/11/2023;20231101;Help Desk;0;0
Jeudi;02/11/2023;20231102;HLB;433;450,5010048
Jeudi;02/11/2023;20231102;Help Desk;24;0
Vendredi;03/11/2023;20231103;HLB;409;420,6698496
Vendredi;03/11/2023;20231103;Help Desk;22;0
Samedi;04/11/2023;20231104;HLB;295;221,2056
Samedi;04/11/2023;20231104;Help Desk;16;0
Dimanche;05/11/2023;20231105;HLB;0;0
Dimanche;05/11/2023;20231105;Help Desk;0;0
Lundi;06/11/2023;20231106;HLB;493;503,8431552
Lundi;06/11/2023;20231106;Help Desk;27;0
Mardi;07/11/2023;20231107;HLB;431;465,163776
Mardi;07/11/2023;20231107;Help Desk;24;0
Mercredi;08/11/2023;20231108;HLB;446;466,9334208
Mercredi;08/11/2023;20231108;Help Desk;24;0
Jeudi;09/11/2023;20231109;HLB;412;450,5010048
Jeudi;09/11/2023;20231109;Help Desk;23;0
Vendredi;10/11/2023;20231110;HLB;366;420,6698496
Vendredi;10/11/2023;20231110;Help Desk;20;0
Samedi;11/11/2023;20231111;HLB;0;0
Samedi;11/11/2023;20231111;Help Desk;0;0
Dimanche;12/11/2023;20231112;HLB;0;0
Dimanche;12/11/2023;20231112;Help Desk;0;0
Lundi;13/11/2023;20231113;HLB;483;503,8431552
Lundi;13/11/2023;20231113;Help Desk;27;0
Mardi;14/11/2023;20231114;HLB;426;465,163776
Mardi;14/11/2023;20231114;Help Desk;23;0
Mercredi;15/11/2023;20231115;HLB;444;466,9334208
Mercredi;15/11/2023;20231115;Help Desk;24;0
Jeudi;16/11/2023;20231116;HLB;419;450,5010048
Jeudi;16/11/2023;20231116;Help Desk;23;0
Vendredi;17/11/2023;20231117;HLB;406;420,6698496
Vendredi;17/11/2023;20231117;Help Desk;22;0
Samedi;18/11/2023;20231118;HLB;299;221,2056
Samedi;18/11/2023;20231118;Help Desk;16;0
Dimanche;19/11/2023;20231119;HLB;0;0
Dimanche;19/11/2023;20231119;Help Desk;0;0
Lundi;20/11/2023;20231120;HLB;498;503,8431552
Lundi;20/11/2023;20231120;Help Desk;27;0
Mardi;21/11/2023;20231121;HLB;425;465,163776
Mardi;21/11/2023;20231121;Help Desk;23;0
Mercredi;22/11/2023;20231122;HLB;427;466,9334208
Mercredi;22/11/2023;20231122;Help Desk;23;0
Jeudi;23/11/2023;20231123;HLB;412;450,5010048
Jeudi;23/11/2023;20231123;Help Desk;23;0
Vendredi;24/11/2023;20231124;HLB;406;420,6698496
Vendredi;24/11/2023;20231124;Help Desk;22;0
Samedi;25/11/2023;20231125;HLB;278;221,2056
Samedi;25/11/2023;20231125;Help Desk;15;0
Dimanche;26/11/2023;20231126;HLB;0;0
Dimanche;26/11/2023;20231126;Help Desk;0;0
Lundi;27/11/2023;20231127;HLB;508;503,8431552
Lundi;27/11/2023;20231127;Help Desk;28;0
Mardi;28/11/2023;20231128;HLB;423;465,163776
Mardi;28/11/2023;20231128;Help Desk;23;0
Mercredi;29/11/2023;20231129;HLB;433;466,9334208
Mercredi;29/11/2023;20231129;Help Desk;24;0
Jeudi;30/11/2023;20231130;HLB;408;450,5010048
Jeudi;30/11/2023;20231130;Help Desk;22;0
Vendredi;01/12/2023;20231201;HLB;366;420,6698496
Vendredi;01/12/2023;20231201;Help Desk;23;0
Samedi;02/12/2023;20231202;HLB;251;221,2056
Samedi;02/12/2023;20231202;Help Desk;16;0
Dimanche;03/12/2023;20231203;HLB;0;0
Dimanche;03/12/2023;20231203;Help Desk;0;0
Lundi;04/12/2023;20231204;HLB;457;503,8431552
Lundi;04/12/2023;20231204;Help Desk;29;0
Mardi;05/12/2023;20231205;HLB;420;465,163776
Mardi;05/12/2023;20231205;Help Desk;26;0
Mercredi;06/12/2023;20231206;HLB;414;466,9334208
Mercredi;06/12/2023;20231206;Help Desk;26;0
Jeudi;07/12/2023;20231207;HLB;379;450,5010048
Jeudi;07/12/2023;20231207;Help Desk;24;0
Vendredi;08/12/2023;20231208;HLB;368;420,6698496
Vendredi;08/12/2023;20231208;Help Desk;23;0
Samedi;09/12/2023;20231209;HLB;254;221,2056
Samedi;09/12/2023;20231209;Help Desk;16;0
Dimanche;10/12/2023;20231210;HLB;0;0
Dimanche;10/12/2023;20231210;Help Desk;0;0
Lundi;11/12/2023;20231211;HLB;458;503,8431552
Lundi;11/12/2023;20231211;Help Desk;29;0
Mardi;12/12/2023;20231212;HLB;394;465,163776
Mardi;12/12/2023;20231212;Help Desk;25;0
Mercredi;13/12/2023;20231213;HLB;412;466,9334208
Mercredi;13/12/2023;20231213;Help Desk;26;0
Jeudi;14/12/2023;20231214;HLB;369;450,5010048
Jeudi;14/12/2023;20231214;Help Desk;23;0
Vendredi;15/12/2023;20231215;HLB;364;420,6698496
Vendredi;15/12/2023;20231215;Help Desk;23;0
Samedi;16/12/2023;20231216;HLB;238;221,2056
Samedi;16/12/2023;20231216;Help Desk;15;0
Dimanche;17/12/2023;20231217;HLB;0;0
Dimanche;17/12/2023;20231217;Help Desk;0;0
Lundi;18/12/2023;20231218;HLB;450;503,8431552
Lundi;18/12/2023;20231218;Help Desk;28;0
Mardi;19/12/2023;20231219;HLB;407;465,163776
Mardi;19/12/2023;20231219;Help Desk;25;0
Mercredi;20/12/2023;20231220;HLB;413;466,9334208
Mercredi;20/12/2023;20231220;Help Desk;26;0
Jeudi;21/12/2023;20231221;HLB;382;450,5010048
Jeudi;21/12/2023;20231221;Help Desk;24;0
Vendredi;22/12/2023;20231222;HLB;352;420,6698496
Vendredi;22/12/2023;20231222;Help Desk;22;0
Samedi;23/12/2023;20231223;HLB;208;221,2056
Samedi;23/12/2023;20231223;Help Desk;13;0
Dimanche;24/12/2023;20231224;HLB;0;0
Dimanche;24/12/2023;20231224;Help Desk;0;0
Lundi;25/12/2023;20231225;HLB;0;0
Lundi;25/12/2023;20231225;Help Desk;0;0
Mardi;26/12/2023;20231226;HLB;409;465,163776
Mardi;26/12/2023;20231226;Help Desk;26;0
Mercredi;27/12/2023;20231227;HLB;366;466,9334208
Mercredi;27/12/2023;20231227;Help Desk;23;0
Jeudi;28/12/2023;20231228;HLB;332;450,5010048
Jeudi;28/12/2023;20231228;Help Desk;21;0
Vendredi;29/12/2023;20231229;HLB;318;420,6698496
Vendredi;29/12/2023;20231229;Help Desk;20;0
Samedi;30/12/2023;20231230;HLB;207;221,2056
Samedi;30/12/2023;20231230;Help Desk;13;0
Dimanche;31/12/2023;20231231;HLB;0;0
Dimanche;31/12/2023;20231231;Help Desk;0;0
Lundi;01/01/2024;20240101;Help Desk;0;0
Lundi;01/01/2024;20240101;HLB;0;0
Mardi;02/01/2024;20240102;Help Desk;21;0
Mardi;02/01/2024;20240102;HLB;364;465,163776
Mercredi;03/01/2024;20240103;Help Desk;19;0
Mercredi;03/01/2024;20240103;HLB;343;466,9334208
Jeudi;04/01/2024;20240104;Help Desk;18;0
Jeudi;04/01/2024;20240104;HLB;319;450,5010048
Vendredi;05/01/2024;20240105;Help Desk;17;0
Vendredi;05/01/2024;20240105;HLB;305;420,6698496
Samedi;06/01/2024;20240106;Help Desk;12;0
Samedi;06/01/2024;20240106;HLB;206;221,2056
Dimanche;07/01/2024;20240107;Help Desk;0;0
Dimanche;07/01/2024;20240107;HLB;0;0
Lundi;08/01/2024;20240108;Help Desk;24;0
Lundi;08/01/2024;20240108;HLB;433;503,8431552
Mardi;09/01/2024;20240109;Help Desk;20;0
Mardi;09/01/2024;20240109;HLB;356;465,163776
Mercredi;10/01/2024;20240110;Help Desk;19;0
Mercredi;10/01/2024;20240110;HLB;344;466,9334208
Jeudi;11/01/2024;20240111;Help Desk;18;0
Jeudi;11/01/2024;20240111;HLB;321;450,5010048
Vendredi;12/01/2024;20240112;Help Desk;18;0
Vendredi;12/01/2024;20240112;HLB;324;420,6698496
Samedi;13/01/2024;20240113;Help Desk;13;0
Samedi;13/01/2024;20240113;HLB;223;221,2056
Dimanche;14/01/2024;20240114;Help Desk;0;0
Dimanche;14/01/2024;20240114;HLB;0;0
Lundi;15/01/2024;20240115;Help Desk;23;0
Lundi;15/01/2024;20240115;HLB;405;503,8431552
Mardi;16/01/2024;20240116;Help Desk;20;0
Mardi;16/01/2024;20240116;HLB;346;465,163776
Mercredi;17/01/2024;20240117;Help Desk;19;0
Mercredi;17/01/2024;20240117;HLB;338;466,9334208
Jeudi;18/01/2024;20240118;Help Desk;18;0
Jeudi;18/01/2024;20240118;HLB;310;450,5010048
Vendredi;19/01/2024;20240119;Help Desk;17;0
Vendredi;19/01/2024;20240119;HLB;305;420,6698496
Samedi;20/01/2024;20240120;Help Desk;12;0
Samedi;20/01/2024;20240120;HLB;214;221,2056
Dimanche;21/01/2024;20240121;Help Desk;0;0
Dimanche;21/01/2024;20240121;HLB;0;0
Lundi;22/01/2024;20240122;Help Desk;23;0
Lundi;22/01/2024;20240122;HLB;406;503,8431552
Mardi;23/01/2024;20240123;Help Desk;19;0
Mardi;23/01/2024;20240123;HLB;331;465,163776
Mercredi;24/01/2024;20240124;Help Desk;19;0
Mercredi;24/01/2024;20240124;HLB;343;466,9334208
Jeudi;25/01/2024;20240125;Help Desk;18;0
Jeudi;25/01/2024;20240125;HLB;326;450,5010048
Vendredi;26/01/2024;20240126;Help Desk;18;0
Vendredi;26/01/2024;20240126;HLB;323;420,6698496
Samedi;27/01/2024;20240127;Help Desk;12;0
Samedi;27/01/2024;20240127;HLB;218;221,2056
Dimanche;28/01/2024;20240128;Help Desk;0;0
Dimanche;28/01/2024;20240128;HLB;0;0
Lundi;29/01/2024;20240129;Help Desk;23;0
Lundi;29/01/2024;20240129;HLB;398;503,8431552
Mardi;30/01/2024;20240130;Help Desk;19;0
Mardi;30/01/2024;20240130;HLB;342;465,163776
Mercredi;31/01/2024;20240131;Help Desk;19;0
Mercredi;31/01/2024;20240131;HLB;333;466,9334208
Jeudi;01/02/2024;20240201;Help Desk;14;0
Vendredi;02/02/2024;20240202;Help Desk;14;0
Samedi;03/02/2024;20240203;Help Desk;10;0
Dimanche;04/02/2024;20240204;Help Desk;0;0
Lundi;05/02/2024;20240205;Help Desk;17;0
Mardi;06/02/2024;20240206;Help Desk;14;0
Mercredi;07/02/2024;20240207;Help Desk;14;0
Jeudi;08/02/2024;20240208;Help Desk;14;0
Vendredi;09/02/2024;20240209;Help Desk;14;0
Samedi;10/02/2024;20240210;Help Desk;10;0
Dimanche;11/02/2024;20240211;Help Desk;0;0
Lundi;12/02/2024;20240212;Help Desk;17;0
Mardi;13/02/2024;20240213;Help Desk;15;0
Mercredi;14/02/2024;20240214;Help Desk;14;0
Jeudi;15/02/2024;20240215;Help Desk;14;0
Vendredi;16/02/2024;20240216;Help Desk;13;0
Samedi;17/02/2024;20240217;Help Desk;10;0
Dimanche;18/02/2024;20240218;Help Desk;0;0
Lundi;19/02/2024;20240219;Help Desk;17;0
Mardi;20/02/2024;20240220;Help Desk;14;0
Mercredi;21/02/2024;20240221;Help Desk;14;0
Jeudi;22/02/2024;20240222;Help Desk;14;0
Vendredi;23/02/2024;20240223;Help Desk;14;0
Samedi;24/02/2024;20240224;Help Desk;10;0
Dimanche;25/02/2024;20240225;Help Desk;0;0
Lundi;26/02/2024;20240226;Help Desk;17;0
Mardi;27/02/2024;20240227;Help Desk;14;0
Mercredi;28/02/2024;20240228;Help Desk;15;0
Jeudi;29/02/2024;20240229;Help Desk;14;0
Jeudi;01/02/2024;20240201;HLB;291;450,5010048
Vendredi;02/02/2024;20240202;HLB;291;420,6698496
Samedi;03/02/2024;20240203;HLB;205;221,2056
Dimanche;04/02/2024;20240204;HLB;0;0
Lundi;05/02/2024;20240205;HLB;363;503,8431552
Mardi;06/02/2024;20240206;HLB;303;465,163776
Mercredi;07/02/2024;20240207;HLB;302;466,9334208
Jeudi;08/02/2024;20240208;HLB;286;450,5010048
Vendredi;09/02/2024;20240209;HLB;288;420,6698496
Samedi;10/02/2024;20240210;HLB;201;221,2056
Dimanche;11/02/2024;20240211;HLB;0;0
Lundi;12/02/2024;20240212;HLB;360;503,8431552
Mardi;13/02/2024;20240213;HLB;306;465,163776
Mercredi;14/02/2024;20240214;HLB;304;466,9334208
Jeudi;15/02/2024;20240215;HLB;287;450,5010048
Vendredi;16/02/2024;20240216;HLB;282;420,6698496
Samedi;17/02/2024;20240217;HLB;202;221,2056
Dimanche;18/02/2024;20240218;HLB;0;0
Lundi;19/02/2024;20240219;HLB;365;503,8431552
Mardi;20/02/2024;20240220;HLB;297;465,163776
Mercredi;21/02/2024;20240221;HLB;302;466,9334208
Jeudi;22/02/2024;20240222;HLB;293;450,5010048
Vendredi;23/02/2024;20240223;HLB;283;420,6698496
Samedi;24/02/2024;20240224;HLB;201;221,2056
Dimanche;25/02/2024;20240225;HLB;0;0
Lundi;26/02/2024;20240226;HLB;362;503,8431552
Mardi;27/02/2024;20240227;HLB;301;465,163776
Mercredi;28/02/2024;20240228;HLB;305;466,9334208
Jeudi;29/02/2024;20240229;HLB;286;450,5010048
Vendredi;01/03/2024;20240301;Help Desk;15;0
Samedi;02/03/2024;20240302;Help Desk;10;0
Dimanche;03/03/2024;20240303;Help Desk;0;0
Lundi;04/03/2024;20240304;Help Desk;19;0
Mardi;05/03/2024;20240305;Help Desk;16;0
Mercredi;06/03/2024;20240306;Help Desk;16;0
Jeudi;07/03/2024;20240307;Help Desk;15;0
Vendredi;08/03/2024;20240308;Help Desk;15;0
Samedi;09/03/2024;20240309;Help Desk;10;0
Dimanche;10/03/2024;20240310;Help Desk;0;0
Lundi;11/03/2024;20240311;Help Desk;19;0
Mardi;12/03/2024;20240312;Help Desk;17;0
Mercredi;13/03/2024;20240313;Help Desk;17;0
Jeudi;14/03/2024;20240314;Help Desk;16;0
Vendredi;15/03/2024;20240315;Help Desk;15;0
Samedi;16/03/2024;20240316;Help Desk;11;0
Dimanche;17/03/2024;20240317;Help Desk;0;0
Lundi;18/03/2024;20240318;Help Desk;20;0
Mardi;19/03/2024;20240319;Help Desk;16;0
Mercredi;20/03/2024;20240320;Help Desk;16;0
Jeudi;21/03/2024;20240321;Help Desk;16;0
Vendredi;22/03/2024;20240322;Help Desk;15;0
Samedi;23/03/2024;20240323;Help Desk;11;0
Dimanche;24/03/2024;20240324;Help Desk;0;0
Lundi;25/03/2024;20240325;Help Desk;19;0
Mardi;26/03/2024;20240326;Help Desk;16;0
Mercredi;27/03/2024;20240327;Help Desk;17;0
Jeudi;28/03/2024;20240328;Help Desk;15;0
Vendredi;29/03/2024;20240329;Help Desk;15;0
Samedi;30/03/2024;20240330;Help Desk;11;0
Dimanche;31/03/2024;20240331;Help Desk;0;0
Vendredi;01/03/2024;20240301;HLB;304;420,6698496
Samedi;02/03/2024;20240302;HLB;210;221,2056
Dimanche;03/03/2024;20240303;HLB;0;0
Lundi;04/03/2024;20240304;HLB;390;503,8431552
Mardi;05/03/2024;20240305;HLB;329;465,163776
Mercredi;06/03/2024;20240306;HLB;332;466,9334208
Jeudi;07/03/2024;20240307;HLB;315;450,5010048
Vendredi;08/03/2024;20240308;HLB;305;420,6698496
Samedi;09/03/2024;20240309;HLB;213;221,2056
Dimanche;10/03/2024;20240310;HLB;0;0
Lundi;11/03/2024;20240311;HLB;391;458,039232
Mardi;12/03/2024;20240312;HLB;345;422,87616
Mercredi;13/03/2024;20240313;HLB;347;424,484928
Jeudi;14/03/2024;20240314;HLB;319;409,546368
Vendredi;15/03/2024;20240315;HLB;305;382,427136
Samedi;16/03/2024;20240316;HLB;217;201,096
Dimanche;17/03/2024;20240317;HLB;0;0
Lundi;18/03/2024;20240318;HLB;397;458,039232
Mardi;19/03/2024;20240319;HLB;326;422,87616
Mercredi;20/03/2024;20240320;HLB;328;424,484928
Jeudi;21/03/2024;20240321;HLB;320;409,546368
Vendredi;22/03/2024;20240322;HLB;300;382,427136
Samedi;23/03/2024;20240323;HLB;214;201,096
Dimanche;24/03/2024;20240324;HLB;0;0
Lundi;25/03/2024;20240325;HLB;393;458,039232
Mardi;26/03/2024;20240326;HLB;330;422,87616
Mercredi;27/03/2024;20240327;HLB;338;424,484928
Jeudi;28/03/2024;20240328;HLB;311;409,546368
Vendredi;29/03/2024;20240329;HLB;298;382,427136
Samedi;30/03/2024;20240330;HLB;222;201,096
Dimanche;31/03/2024;20240331;HLB;0;0
Lundi;01/04/2024;20240401;Help Desk;0;0
Mardi;02/04/2024;20240402;Help Desk;15;0
Mercredi;03/04/2024;20240403;Help Desk;14;0
Jeudi;04/04/2024;20240404;Help Desk;13;0
Vendredi;05/04/2024;20240405;Help Desk;13;0
Samedi;06/04/2024;20240406;Help Desk;9;0
Dimanche;07/04/2024;20240407;Help Desk;0;0
Lundi;08/04/2024;20240408;Help Desk;15;0
Mardi;09/04/2024;20240409;Help Desk;14;0
Mercredi;10/04/2024;20240410;Help Desk;14;0
Jeudi;11/04/2024;20240411;Help Desk;13;0
Vendredi;12/04/2024;20240412;Help Desk;13;0
Samedi;13/04/2024;20240413;Help Desk;9;0
Dimanche;14/04/2024;20240414;Help Desk;0;0
Lundi;15/04/2024;20240415;Help Desk;15;0
Mardi;16/04/2024;20240416;Help Desk;15;0
Mercredi;17/04/2024;20240417;Help Desk;14;0
Jeudi;18/04/2024;20240418;Help Desk;14;0
Vendredi;19/04/2024;20240419;Help Desk;14;0
Samedi;20/04/2024;20240420;Help Desk;10;0
Dimanche;21/04/2024;20240421;Help Desk;0;0
Lundi;22/04/2024;20240422;Help Desk;16;0
Mardi;23/04/2024;20240423;Help Desk;15;0
Mercredi;24/04/2024;20240424;Help Desk;14;0
Jeudi;25/04/2024;20240425;Help Desk;14;0
Vendredi;26/04/2024;20240426;Help Desk;14;0
Samedi;27/04/2024;20240427;Help Desk;9;0
Dimanche;28/04/2024;20240428;Help Desk;0;0
Lundi;29/04/2024;20240429;Help Desk;16;0
Mardi;30/04/2024;20240430;Help Desk;14;0
Lundi;01/04/2024;20240401;HLB;0;0
Mardi;02/04/2024;20240402;HLB;335;422,87616
Mercredi;03/04/2024;20240403;HLB;317;424,484928
Jeudi;04/04/2024;20240404;HLB;304;409,546368
Vendredi;05/04/2024;20240405;HLB;300;382,427136
Samedi;06/04/2024;20240406;HLB;209;201,096
Dimanche;07/04/2024;20240407;HLB;0;0
Lundi;08/04/2024;20240408;HLB;338;503,8431552
Mardi;09/04/2024;20240409;HLB;323;465,163776
Mercredi;10/04/2024;20240410;HLB;315;466,9334208
Jeudi;11/04/2024;20240411;HLB;305;450,5010048
Vendredi;12/04/2024;20240412;HLB;302;420,6698496
Samedi;13/04/2024;20240413;HLB;214;221,2056
Dimanche;14/04/2024;20240414;HLB;0;0
Lundi;15/04/2024;20240415;HLB;343;503,8431552
Mardi;16/04/2024;20240416;HLB;332;465,163776
Mercredi;17/04/2024;20240417;HLB;322;466,9334208
Jeudi;18/04/2024;20240418;HLB;313;450,5010048
Vendredi;19/04/2024;20240419;HLB;309;420,6698496
Samedi;20/04/2024;20240420;HLB;225;221,2056
Dimanche;21/04/2024;20240421;HLB;0;0
Lundi;22/04/2024;20240422;HLB;354;503,8431552
Mardi;23/04/2024;20240423;HLB;338;465,163776
Mercredi;24/04/2024;20240424;HLB;321;466,9334208
Jeudi;25/04/2024;20240425;HLB;311;450,5010048
Vendredi;26/04/2024;20240426;HLB;310;420,6698496
Samedi;27/04/2024;20240427;HLB;211;221,2056
Dimanche;28/04/2024;20240428;HLB;0;0
Lundi;29/04/2024;20240429;HLB;361;503,8431552
Mardi;30/04/2024;20240430;HLB;313;465,163776
