Jour;Date;Date_Format_1;Flux;Sous_Flux;Commande;Capacitaire
Mercredi;22/03/2023;20230322;Open;Fibre;1759;0
Mercredi;22/03/2023;20230322;Open;Mobile;675;5562,810018
Mercredi;22/03/2023;20230322;Open;Premium;0;0
Jeudi;23/03/2023;20230323;DART;Convergents;697;0
Jeudi;23/03/2023;20230323;DART;Mobile;156;0
Jeudi;23/03/2023;20230323;Open;ADSL;1805;0
Jeudi;23/03/2023;20230323;Open;Fibre;1600;0
Jeudi;23/03/2023;20230323;Open;Mobile;630;5242,560379
Jeudi;23/03/2023;20230323;Open;Premium;0;0
Vendredi;24/03/2023;20230324;DART;Convergents;706;0
Vendredi;24/03/2023;20230324;DART;Mobile;153;0
Vendredi;24/03/2023;20230324;Open;ADSL;1831;0
Vendredi;24/03/2023;20230324;Open;Fibre;1632;0
Vendredi;24/03/2023;20230324;Open;Mobile;618;5167,844554
Vendredi;24/03/2023;20230324;Open;Premium;0;0
Samedi;25/03/2023;20230325;DART;Convergents;441;0
Samedi;25/03/2023;20230325;DART;Mobile;98;0
Samedi;25/03/2023;20230325;Open;ADSL;1142;0
Samedi;25/03/2023;20230325;Open;Fibre;1005;0
Samedi;25/03/2023;20230325;Open;Mobile;398;3271,930498
Samedi;25/03/2023;20230325;Open;Premium;0;0
Dimanche;26/03/2023;20230326;DART;Convergents;0;0
Dimanche;26/03/2023;20230326;DART;Mobile;0;0
Dimanche;26/03/2023;20230326;Open;ADSL;0;0
Dimanche;26/03/2023;20230326;Open;Fibre;0;0
Dimanche;26/03/2023;20230326;Open;Mobile;0;0
Lundi;27/03/2023;20230327;DART;Convergents;870;0
Lundi;27/03/2023;20230327;DART;Mobile;194;0
Lundi;27/03/2023;20230327;Open;ADSL;2344;0
Lundi;27/03/2023;20230327;Open;Fibre;2013;0
Lundi;27/03/2023;20230327;Open;Mobile;828;5400,829272
Lundi;27/03/2023;20230327;Open;Premium;0;0
Mardi;28/03/2023;20230328;DART;Convergents;749;0
Mardi;28/03/2023;20230328;DART;Mobile;170;0
Mardi;28/03/2023;20230328;Open;ADSL;2016;0
Mardi;28/03/2023;20230328;Open;Fibre;1760;0
Mardi;28/03/2023;20230328;Open;Mobile;728;5296,800457
Mardi;28/03/2023;20230328;Open;Premium;0;0
Mercredi;29/03/2023;20230329;DART;Convergents;773;0
Mercredi;29/03/2023;20230329;DART;Mobile;167;0
Mercredi;29/03/2023;20230329;Open;ADSL;2082;0
Mercredi;29/03/2023;20230329;Open;Fibre;1827;0
Mercredi;29/03/2023;20230329;Open;Mobile;714;5480,116367
Mercredi;29/03/2023;20230329;Open;Premium;0;0
Jeudi;30/03/2023;20230330;DART;Convergents;697;0
Jeudi;30/03/2023;20230330;DART;Mobile;156;0
Jeudi;30/03/2023;20230330;Open;ADSL;1876;0
Jeudi;30/03/2023;20230330;Open;Fibre;1660;0
Jeudi;30/03/2023;20230330;Open;Mobile;665;4849,456627
Jeudi;30/03/2023;20230330;Open;Premium;0;0
Vendredi;31/03/2023;20230331;DART;Convergents;706;0
Vendredi;31/03/2023;20230331;DART;Mobile;153;0
Vendredi;31/03/2023;20230331;Open;ADSL;1902;0
Vendredi;31/03/2023;20230331;Open;Fibre;1695;0
Vendredi;31/03/2023;20230331;Open;Mobile;653;4762,829252
Vendredi;31/03/2023;20230331;Open;Premium;0;0
Samedi;01/04/2023;20230401;DART;Convergents;441;0
Samedi;01/04/2023;20230401;DART;Mobile;98;0
Samedi;01/04/2023;20230401;Open;ADSL;1230;0
Samedi;01/04/2023;20230401;Open;Fibre;1010;0
Samedi;01/04/2023;20230401;Open;Mobile;350;3015,502135
Samedi;01/04/2023;20230401;Open;Premium;0;0
Dimanche;02/04/2023;20230402;DART;Convergents;0;0
Dimanche;02/04/2023;20230402;DART;Mobile;0;0
Dimanche;02/04/2023;20230402;Open;ADSL;0;0
Dimanche;02/04/2023;20230402;Open;Fibre;0;0
Dimanche;02/04/2023;20230402;Open;Mobile;0;0
Lundi;03/04/2023;20230403;DART;Convergents;1044;0
Lundi;03/04/2023;20230403;DART;Mobile;232;0
Lundi;03/04/2023;20230403;Open;ADSL;2330;0
Lundi;03/04/2023;20230403;Open;Fibre;1978;0
Lundi;03/04/2023;20230403;Open;Mobile;642;5697,710556
Lundi;03/04/2023;20230403;Open;Premium;0;0
Mardi;04/04/2023;20230404;DART;Convergents;899;0
Mardi;04/04/2023;20230404;DART;Mobile;204;0
Mardi;04/04/2023;20230404;Open;ADSL;2006;0
Mardi;04/04/2023;20230404;Open;Fibre;1729;0
Mardi;04/04/2023;20230404;Open;Mobile;563;5561,103279
Mardi;04/04/2023;20230404;Open;Premium;0;0
Mercredi;05/04/2023;20230405;DART;Convergents;928;0
Mercredi;05/04/2023;20230405;DART;Mobile;201;0
Mercredi;05/04/2023;20230405;Open;ADSL;2071;0
Mercredi;05/04/2023;20230405;Open;Fibre;1796;0
Mercredi;05/04/2023;20230405;Open;Mobile;552;5702,087292
Mercredi;05/04/2023;20230405;Open;Premium;0;0
Jeudi;06/04/2023;20230406;DART;Convergents;836;0
Jeudi;06/04/2023;20230406;DART;Mobile;187;0
Jeudi;06/04/2023;20230406;Open;ADSL;1866;0
Jeudi;06/04/2023;20230406;Open;Fibre;1633;0
Jeudi;06/04/2023;20230406;Open;Mobile;515;4949,150321
Jeudi;06/04/2023;20230406;Open;Premium;0;0
Vendredi;07/04/2023;20230407;DART;Convergents;848;0
Vendredi;07/04/2023;20230407;DART;Mobile;184;0
Vendredi;07/04/2023;20230407;Open;ADSL;1893;0
Vendredi;07/04/2023;20230407;Open;Fibre;1681;0
Vendredi;07/04/2023;20230407;Open;Mobile;506;4753,099264
Vendredi;07/04/2023;20230407;Open;Premium;0;0
Samedi;08/04/2023;20230408;DART;Convergents;529;0
Samedi;08/04/2023;20230408;DART;Mobile;118;0
Samedi;08/04/2023;20230408;Open;ADSL;1145;0
Samedi;08/04/2023;20230408;Open;Fibre;944;0
Samedi;08/04/2023;20230408;Open;Mobile;326;3009,341763
Samedi;08/04/2023;20230408;Open;Premium;0;0
Dimanche;09/04/2023;20230409;DART;Convergents;0;0
Dimanche;09/04/2023;20230409;DART;Mobile;0;0
Dimanche;09/04/2023;20230409;Open;ADSL;0;0
Dimanche;09/04/2023;20230409;Open;Fibre;0;0
Dimanche;09/04/2023;20230409;Open;Mobile;0;0
Lundi;10/04/2023;20230410;DART;Convergents;0;0
Lundi;10/04/2023;20230410;DART;Mobile;0;0
Lundi;10/04/2023;20230410;Open;ADSL;0;0
Lundi;10/04/2023;20230410;Open;Fibre;0;0
Lundi;10/04/2023;20230410;Open;Mobile;0;0
Mardi;11/04/2023;20230411;DART;Convergents;1131;0
Mardi;11/04/2023;20230411;DART;Mobile;257;0
Mardi;11/04/2023;20230411;Open;ADSL;2478;0
Mardi;11/04/2023;20230411;Open;Fibre;2298;0
Mardi;11/04/2023;20230411;Open;Mobile;721;6672,892219
Mardi;11/04/2023;20230411;Open;Premium;0;0
Mercredi;12/04/2023;20230412;DART;Convergents;1168;0
Mercredi;12/04/2023;20230412;DART;Mobile;253;0
Mercredi;12/04/2023;20230412;Open;ADSL;2172;0
Mercredi;12/04/2023;20230412;Open;Fibre;1973;0
Mercredi;12/04/2023;20230412;Open;Mobile;620;7136,239273
Mercredi;12/04/2023;20230412;Open;Premium;0;0
Jeudi;13/04/2023;20230413;DART;Convergents;1052;0
Jeudi;13/04/2023;20230413;DART;Mobile;236;0
Jeudi;13/04/2023;20230413;Open;ADSL;1957;0
Jeudi;13/04/2023;20230413;Open;Fibre;1793;0
Jeudi;13/04/2023;20230413;Open;Mobile;563;6268,860243
Jeudi;13/04/2023;20230413;Open;Premium;0;0
Vendredi;14/04/2023;20230414;DART;Convergents;1067;0
Vendredi;14/04/2023;20230414;DART;Mobile;231;0
Vendredi;14/04/2023;20230414;Open;ADSL;2006;0
Vendredi;14/04/2023;20230414;Open;Fibre;1850;0
Vendredi;14/04/2023;20230414;Open;Mobile;580;6179,517816
Vendredi;14/04/2023;20230414;Open;Premium;0;0
Samedi;15/04/2023;20230415;DART;Convergents;666;0
Samedi;15/04/2023;20230415;DART;Mobile;148;0
Samedi;15/04/2023;20230415;Open;ADSL;1277;0
Samedi;15/04/2023;20230415;Open;Fibre;1080;0
Samedi;15/04/2023;20230415;Open;Mobile;338;3815,47581
Samedi;15/04/2023;20230415;Open;Premium;0;0
Dimanche;16/04/2023;20230416;DART;Convergents;0;0
Dimanche;16/04/2023;20230416;DART;Mobile;0;0
Dimanche;16/04/2023;20230416;Open;ADSL;0;0
Dimanche;16/04/2023;20230416;Open;Fibre;0;0
Dimanche;16/04/2023;20230416;Open;Mobile;0;0
Lundi;17/04/2023;20230417;DART;Convergents;1172;0
Lundi;17/04/2023;20230417;DART;Mobile;0;0
Lundi;17/04/2023;20230417;Open;ADSL;2334;0
Lundi;17/04/2023;20230417;Open;Fibre;2050;0
Lundi;17/04/2023;20230417;Open;Mobile;659;5534,480625
Lundi;17/04/2023;20230417;Open;Premium;0;0
Mardi;18/04/2023;20230418;DART;Convergents;1008;0
Mardi;18/04/2023;20230418;DART;Mobile;327;0
Mardi;18/04/2023;20230418;Open;ADSL;2009;0
Mardi;18/04/2023;20230418;Open;Fibre;1793;0
Mardi;18/04/2023;20230418;Open;Mobile;579;5441,844689
Mardi;18/04/2023;20230418;Open;Premium;0;0
Mercredi;19/04/2023;20230419;DART;Convergents;1041;0
Mercredi;19/04/2023;20230419;DART;Mobile;320;0
Mercredi;19/04/2023;20230419;Open;ADSL;2074;0
Mercredi;19/04/2023;20230419;Open;Fibre;1861;0
Mercredi;19/04/2023;20230419;Open;Mobile;567;5529,195365
Mercredi;19/04/2023;20230419;Open;Premium;0;0
Jeudi;20/04/2023;20230420;DART;Convergents;938;0
Jeudi;20/04/2023;20230420;DART;Mobile;299;0
Jeudi;20/04/2023;20230420;Open;ADSL;1870;0
Jeudi;20/04/2023;20230420;Open;Fibre;1692;0
Jeudi;20/04/2023;20230420;Open;Mobile;529;4892,887544
Jeudi;20/04/2023;20230420;Open;Premium;0;0
Vendredi;21/04/2023;20230421;DART;Convergents;951;0
Vendredi;21/04/2023;20230421;DART;Mobile;293;0
Vendredi;21/04/2023;20230421;Open;ADSL;1897;0
Vendredi;21/04/2023;20230421;Open;Fibre;1727;0
Vendredi;21/04/2023;20230421;Open;Mobile;519;4770,613243
Vendredi;21/04/2023;20230421;Open;Premium;0;0
Samedi;22/04/2023;20230422;DART;Convergents;593;0
Samedi;22/04/2023;20230422;DART;Mobile;189;0
Samedi;22/04/2023;20230422;Open;ADSL;1183;0
Samedi;22/04/2023;20230422;Open;Fibre;1064;0
Samedi;22/04/2023;20230422;Open;Mobile;335;3020,430433
Samedi;22/04/2023;20230422;Open;Premium;0;0
Dimanche;23/04/2023;20230423;DART;Convergents;0;0
Dimanche;23/04/2023;20230423;DART;Mobile;0;0
Dimanche;23/04/2023;20230423;Open;ADSL;0;0
Dimanche;23/04/2023;20230423;Open;Fibre;0;0
Dimanche;23/04/2023;20230423;Open;Mobile;0;0
Lundi;24/04/2023;20230424;DART;Convergents;1333;0
Lundi;24/04/2023;20230424;DART;Mobile;0;0
Lundi;24/04/2023;20230424;Open;ADSL;2350;0
Lundi;24/04/2023;20230424;Open;Fibre;2033;0
Lundi;24/04/2023;20230424;Open;Mobile;657;6078,304329
Lundi;24/04/2023;20230424;Open;Premium;0;0
Mardi;25/04/2023;20230425;DART;Convergents;1148;0
Mardi;25/04/2023;20230425;DART;Mobile;363;0
Mardi;25/04/2023;20230425;Open;ADSL;2021;0
Mardi;25/04/2023;20230425;Open;Fibre;1777;0
Mardi;25/04/2023;20230425;Open;Mobile;577;5917,54536
Mardi;25/04/2023;20230425;Open;Premium;0;0
Mercredi;26/04/2023;20230426;DART;Convergents;1184;0
Mercredi;26/04/2023;20230426;DART;Mobile;356;0
Mercredi;26/04/2023;20230426;Open;ADSL;2088;0
Mercredi;26/04/2023;20230426;Open;Fibre;1845;0
Mercredi;26/04/2023;20230426;Open;Mobile;568;6070,46682
Mercredi;26/04/2023;20230426;Open;Premium;0;0
Jeudi;27/04/2023;20230427;DART;Convergents;1067;0
Jeudi;27/04/2023;20230427;DART;Mobile;331;0
Jeudi;27/04/2023;20230427;Open;ADSL;1881;0
Jeudi;27/04/2023;20230427;Open;Fibre;1678;0
Jeudi;27/04/2023;20230427;Open;Mobile;527;5349,574157
Jeudi;27/04/2023;20230427;Open;Premium;0;0
Vendredi;28/04/2023;20230428;DART;Convergents;1083;0
Vendredi;28/04/2023;20230428;DART;Mobile;326;0
Vendredi;28/04/2023;20230428;Open;ADSL;1927;0
Vendredi;28/04/2023;20230428;Open;Fibre;1762;0
Vendredi;28/04/2023;20230428;Open;Mobile;518;5231,577275
Vendredi;28/04/2023;20230428;Open;Premium;0;0
Samedi;29/04/2023;20230429;DART;Convergents;675;0
Samedi;29/04/2023;20230429;DART;Mobile;210;0
Samedi;29/04/2023;20230429;Open;ADSL;1178;0
Samedi;29/04/2023;20230429;Open;Fibre;1033;0
Samedi;29/04/2023;20230429;Open;Mobile;334;3273,321921
Samedi;29/04/2023;20230429;Open;Premium;0;0
Dimanche;30/04/2023;20230430;DART;Convergents;0;0
Dimanche;30/04/2023;20230430;DART;Mobile;0;0
Dimanche;30/04/2023;20230430;Open;ADSL;0;0
Dimanche;30/04/2023;20230430;Open;Fibre;0;0
Dimanche;30/04/2023;20230430;Open;Mobile;0;0
Lundi;01/05/2023;20230501;DART;Convergents;0;0
Lundi;01/05/2023;20230501;DART;Mobile;0;0
Lundi;01/05/2023;20230501;Open;ADSL;0;0
Lundi;01/05/2023;20230501;Open;Fibre;0;0
Lundi;01/05/2023;20230501;Open;Mobile;0;0
Mardi;02/05/2023;20230502;DART;Convergents;1053;0
Mardi;02/05/2023;20230502;DART;Mobile;270;0
Mardi;02/05/2023;20230502;Open;ADSL;2281;0
Mardi;02/05/2023;20230502;Open;Fibre;2039;0
Mardi;02/05/2023;20230502;Open;Mobile;638;7449,368457
Mardi;02/05/2023;20230502;Open;Premium;0;0
Mercredi;03/05/2023;20230503;DART;Convergents;1087;0
Mercredi;03/05/2023;20230503;DART;Mobile;265;0
Mercredi;03/05/2023;20230503;Open;ADSL;2039;0
Mercredi;03/05/2023;20230503;Open;Fibre;1800;0
Mercredi;03/05/2023;20230503;Open;Mobile;547;7533,997502
Mercredi;03/05/2023;20230503;Open;Premium;0;0
Jeudi;04/05/2023;20230504;DART;Convergents;979;0
Jeudi;04/05/2023;20230504;DART;Mobile;247;0
Jeudi;04/05/2023;20230504;Open;ADSL;1818;0
Jeudi;04/05/2023;20230504;Open;Fibre;1620;0
Jeudi;04/05/2023;20230504;Open;Mobile;497;6566,894128
Jeudi;04/05/2023;20230504;Open;Premium;0;0
Vendredi;05/05/2023;20230505;DART;Convergents;994;0
Vendredi;05/05/2023;20230505;DART;Mobile;242;0
Vendredi;05/05/2023;20230505;Open;ADSL;1845;0
Vendredi;05/05/2023;20230505;Open;Fibre;1670;0
Vendredi;05/05/2023;20230505;Open;Mobile;513;6473,304188
Vendredi;05/05/2023;20230505;Open;Premium;0;0
Samedi;06/05/2023;20230506;DART;Convergents;619;0
Samedi;06/05/2023;20230506;DART;Mobile;156;0
Samedi;06/05/2023;20230506;Open;ADSL;1150;0
Samedi;06/05/2023;20230506;Open;Fibre;975;0
Samedi;06/05/2023;20230506;Open;Mobile;299;4066,801212
Samedi;06/05/2023;20230506;Open;Premium;0;0
Dimanche;07/05/2023;20230507;DART;Convergents;0;0
Dimanche;07/05/2023;20230507;DART;Mobile;0;0
Dimanche;07/05/2023;20230507;Open;ADSL;0;0
Dimanche;07/05/2023;20230507;Open;Fibre;0;0
Dimanche;07/05/2023;20230507;Open;Mobile;0;0
Lundi;08/05/2023;20230508;DART;Convergents;0;0
Lundi;08/05/2023;20230508;DART;Mobile;0;0
Lundi;08/05/2023;20230508;Open;ADSL;0;0
Lundi;08/05/2023;20230508;Open;Fibre;0;0
Lundi;08/05/2023;20230508;Open;Mobile;0;0
Mardi;09/05/2023;20230509;DART;Convergents;945;0
Mardi;09/05/2023;20230509;DART;Mobile;241;0
Mardi;09/05/2023;20230509;Open;ADSL;2214;0
Mardi;09/05/2023;20230509;Open;Fibre;1904;0
Mardi;09/05/2023;20230509;Open;Mobile;636;7041,981119
Mardi;09/05/2023;20230509;Open;Premium;0;0
Mercredi;10/05/2023;20230510;DART;Convergents;976;0
Mercredi;10/05/2023;20230510;DART;Mobile;237;0
Mercredi;10/05/2023;20230510;Open;ADSL;1978;0
Mercredi;10/05/2023;20230510;Open;Fibre;1680;0
Mercredi;10/05/2023;20230510;Open;Mobile;546;7279,920679
Mercredi;10/05/2023;20230510;Open;Premium;0;0
Jeudi;11/05/2023;20230511;DART;Convergents;879;0
Jeudi;11/05/2023;20230511;DART;Mobile;220;0
Jeudi;11/05/2023;20230511;Open;ADSL;1764;0
Jeudi;11/05/2023;20230511;Open;Fibre;1513;0
Jeudi;11/05/2023;20230511;Open;Mobile;497;6291,331347
Jeudi;11/05/2023;20230511;Open;Premium;0;0
Vendredi;12/05/2023;20230512;DART;Convergents;892;0
Vendredi;12/05/2023;20230512;DART;Mobile;217;0
Vendredi;12/05/2023;20230512;Open;ADSL;1789;0
Vendredi;12/05/2023;20230512;Open;Fibre;1560;0
Vendredi;12/05/2023;20230512;Open;Mobile;512;6201,668667
Vendredi;12/05/2023;20230512;Open;Premium;0;0
Samedi;13/05/2023;20230513;DART;Convergents;556;0
Samedi;13/05/2023;20230513;DART;Mobile;140;0
Samedi;13/05/2023;20230513;Open;ADSL;1115;0
Samedi;13/05/2023;20230513;Open;Fibre;910;0
Samedi;13/05/2023;20230513;Open;Mobile;299;3926,478174
Samedi;13/05/2023;20230513;Open;Premium;0;0
Dimanche;14/05/2023;20230514;DART;Convergents;0;0
Dimanche;14/05/2023;20230514;DART;Mobile;0;0
Dimanche;14/05/2023;20230514;Open;ADSL;0;0
Dimanche;14/05/2023;20230514;Open;Fibre;0;0
Dimanche;14/05/2023;20230514;Open;Mobile;0;0
Lundi;15/05/2023;20230515;DART;Convergents;91;0
Lundi;15/05/2023;20230515;DART;Mobile;0;0
Lundi;15/05/2023;20230515;Open;ADSL;2090;0
Lundi;15/05/2023;20230515;Open;Fibre;1820;0
Lundi;15/05/2023;20230515;Open;Mobile;581;6827,146991
Lundi;15/05/2023;20230515;Open;Premium;0;0
Mardi;16/05/2023;20230516;DART;Convergents;78;0
Mardi;16/05/2023;20230516;DART;Mobile;41;0
Mardi;16/05/2023;20230516;Open;ADSL;1798;0
Mardi;16/05/2023;20230516;Open;Fibre;1560;0
Mardi;16/05/2023;20230516;Open;Mobile;512;6558,492941
Mardi;16/05/2023;20230516;Open;Premium;0;0
Mercredi;17/05/2023;20230517;DART;Convergents;81;0
Mercredi;17/05/2023;20230517;DART;Mobile;40;0
Mercredi;17/05/2023;20230517;Open;ADSL;1821;0
Mercredi;17/05/2023;20230517;Open;Fibre;1618;0
Mercredi;17/05/2023;20230517;Open;Mobile;502;6808,953664
Mercredi;17/05/2023;20230517;Open;Premium;0;0
Jeudi;18/05/2023;20230518;DART;Convergents;0;0
Jeudi;18/05/2023;20230518;DART;Mobile;0;0
Jeudi;18/05/2023;20230518;Open;ADSL;0;0
Jeudi;18/05/2023;20230518;Open;Fibre;0;0
Jeudi;18/05/2023;20230518;Open;Mobile;0;0
Vendredi;19/05/2023;20230519;DART;Convergents;0;0
Vendredi;19/05/2023;20230519;DART;Mobile;38;0
Vendredi;19/05/2023;20230519;Open;ADSL;1833;0
Vendredi;19/05/2023;20230519;Open;Fibre;1698;0
Vendredi;19/05/2023;20230519;Open;Mobile;506;5913,070025
Vendredi;19/05/2023;20230519;Open;Premium;0;0
Samedi;20/05/2023;20230520;DART;Convergents;74;0
Samedi;20/05/2023;20230520;DART;Mobile;37;0
Samedi;20/05/2023;20230520;Open;ADSL;1069;0
Samedi;20/05/2023;20230520;Open;Fibre;904;0
Samedi;20/05/2023;20230520;Open;Mobile;310;3743,756986
Samedi;20/05/2023;20230520;Open;Premium;0;0
Dimanche;21/05/2023;20230521;DART;Convergents;0;0
Dimanche;21/05/2023;20230521;DART;Mobile;0;0
Dimanche;21/05/2023;20230521;Open;ADSL;0;0
Dimanche;21/05/2023;20230521;Open;Fibre;0;0
Dimanche;21/05/2023;20230521;Open;Mobile;0;0
Lundi;22/05/2023;20230522;DART;Convergents;46;0
Lundi;22/05/2023;20230522;DART;Mobile;24;0
Lundi;22/05/2023;20230522;Open;ADSL;2129;0
Lundi;22/05/2023;20230522;Open;Fibre;1826;0
Lundi;22/05/2023;20230522;Open;Mobile;581;5548,787893
Lundi;22/05/2023;20230522;Open;Premium;0;0
Mardi;23/05/2023;20230523;DART;Convergents;64;0
Mardi;23/05/2023;20230523;DART;Mobile;0;0
Mardi;23/05/2023;20230523;Open;ADSL;1832;0
Mardi;23/05/2023;20230523;Open;Fibre;1595;0
Mardi;23/05/2023;20230523;Open;Mobile;512;5441,909153
Mardi;23/05/2023;20230523;Open;Premium;0;0
Mercredi;24/05/2023;20230524;DART;Convergents;55;0
Mercredi;24/05/2023;20230524;DART;Mobile;34;0
Mercredi;24/05/2023;20230524;Open;ADSL;1891;0
Mercredi;24/05/2023;20230524;Open;Fibre;1656;0
Mercredi;24/05/2023;20230524;Open;Mobile;501;5599,341152
Mercredi;24/05/2023;20230524;Open;Premium;0;0
Jeudi;25/05/2023;20230525;DART;Convergents;57;0
Jeudi;25/05/2023;20230525;DART;Mobile;34;0
Jeudi;25/05/2023;20230525;Open;ADSL;1704;0
Jeudi;25/05/2023;20230525;Open;Fibre;1506;0
Jeudi;25/05/2023;20230525;Open;Mobile;467;4932,666315
Jeudi;25/05/2023;20230525;Open;Premium;0;0
Vendredi;26/05/2023;20230526;DART;Convergents;51;0
Vendredi;26/05/2023;20230526;DART;Mobile;32;0
Vendredi;26/05/2023;20230526;Open;ADSL;1710;0
Vendredi;26/05/2023;20230526;Open;Fibre;1537;0
Vendredi;26/05/2023;20230526;Open;Mobile;459;4862,367032
Vendredi;26/05/2023;20230526;Open;Premium;0;0
Samedi;27/05/2023;20230527;DART;Convergents;51;0
Samedi;27/05/2023;20230527;DART;Mobile;31;0
Samedi;27/05/2023;20230527;Open;ADSL;1047;0
Samedi;27/05/2023;20230527;Open;Fibre;870;0
Samedi;27/05/2023;20230527;Open;Mobile;295;3053,477133
Samedi;27/05/2023;20230527;Open;Premium;0;0
Dimanche;28/05/2023;20230528;DART;Convergents;0;0
Dimanche;28/05/2023;20230528;DART;Mobile;0;0
Dimanche;28/05/2023;20230528;Open;ADSL;0;0
Dimanche;28/05/2023;20230528;Open;Fibre;0;0
Dimanche;28/05/2023;20230528;Open;Mobile;0;0
Lundi;29/05/2023;20230529;DART;Convergents;0;0
Lundi;29/05/2023;20230529;DART;Mobile;0;0
Lundi;29/05/2023;20230529;Open;ADSL;0;0
Lundi;29/05/2023;20230529;Open;Fibre;0;0
Lundi;29/05/2023;20230529;Open;Mobile;0;0
Mardi;30/05/2023;20230530;DART;Convergents;32;0
Mardi;30/05/2023;20230530;DART;Mobile;20;0
Mardi;30/05/2023;20230530;Open;ADSL;2270;0
Mardi;30/05/2023;20230530;Open;Fibre;2063;0
Mardi;30/05/2023;20230530;Open;Mobile;614;6549,534887
Mardi;30/05/2023;20230530;Open;Premium;0;0
Mercredi;31/05/2023;20230531;DART;Convergents;0;0
Mercredi;31/05/2023;20230531;DART;Mobile;0;0
Mercredi;31/05/2023;20230531;Open;ADSL;1997;0
Mercredi;31/05/2023;20230531;Open;Fibre;1810;0
Mercredi;31/05/2023;20230531;Open;Mobile;527;6740,782054
Mercredi;31/05/2023;20230531;Open;Premium;0;0
Jeudi;01/06/2023;20230601;Open;ADSL;1769;0
Jeudi;01/06/2023;20230601;Open;Fibre;1547;0
Jeudi;01/06/2023;20230601;Open;Mobile;508;6603,910023
Jeudi;01/06/2023;20230601;Open;Premium;0;0
Vendredi;02/06/2023;20230602;Open;ADSL;1777;0
Vendredi;02/06/2023;20230602;Open;Fibre;1579;0
Vendredi;02/06/2023;20230602;Open;Mobile;523;6385,461855
Vendredi;02/06/2023;20230602;Open;Premium;0;0
Samedi;03/06/2023;20230603;Open;ADSL;1073;0
Samedi;03/06/2023;20230603;Open;Fibre;911;0
Samedi;03/06/2023;20230603;Open;Mobile;305;4008,618489
Samedi;03/06/2023;20230603;Open;Premium;0;0
Dimanche;04/06/2023;20230604;Open;ADSL;0;0
Dimanche;04/06/2023;20230604;Open;Fibre;0;0
Dimanche;04/06/2023;20230604;Open;Mobile;0;0
Lundi;05/06/2023;20230605;Open;ADSL;2112;0
Lundi;05/06/2023;20230605;Open;Fibre;1757;0
Lundi;05/06/2023;20230605;Open;Mobile;532;5808,597359
Lundi;05/06/2023;20230605;Open;Premium;0;0
Mardi;06/06/2023;20230606;Open;ADSL;1819;0
Mardi;06/06/2023;20230606;Open;Fibre;1536;0
Mardi;06/06/2023;20230606;Open;Mobile;467;5672,44711
Mardi;06/06/2023;20230606;Open;Premium;0;0
Mercredi;07/06/2023;20230607;Open;ADSL;1878;0
Mercredi;07/06/2023;20230607;Open;Fibre;1593;0
Mercredi;07/06/2023;20230607;Open;Mobile;458;5866,396343
Mercredi;07/06/2023;20230607;Open;Premium;0;0
Jeudi;08/06/2023;20230608;Open;ADSL;1693;0
Jeudi;08/06/2023;20230608;Open;Fibre;1449;0
Jeudi;08/06/2023;20230608;Open;Mobile;427;5233,642564
Jeudi;08/06/2023;20230608;Open;Premium;0;0
Vendredi;09/06/2023;20230609;Open;ADSL;1717;0
Vendredi;09/06/2023;20230609;Open;Fibre;1478;0
Vendredi;09/06/2023;20230609;Open;Mobile;420;5137,077034
Vendredi;09/06/2023;20230609;Open;Premium;0;0
Samedi;10/06/2023;20230610;Open;ADSL;1070;0
Samedi;10/06/2023;20230610;Open;Fibre;910;0
Samedi;10/06/2023;20230610;Open;Mobile;270;3213,490744
Samedi;10/06/2023;20230610;Open;Premium;0;0
Dimanche;11/06/2023;20230611;Open;ADSL;0;0
Dimanche;11/06/2023;20230611;Open;Fibre;0;0
Dimanche;11/06/2023;20230611;Open;Mobile;0;0
Lundi;12/06/2023;20230612;Open;ADSL;2161;0
Lundi;12/06/2023;20230612;Open;Fibre;1786;0
Lundi;12/06/2023;20230612;Open;Mobile;533;5724,468579
Lundi;12/06/2023;20230612;Open;Premium;0;0
Mardi;13/06/2023;20230613;Open;ADSL;1859;0
Mardi;13/06/2023;20230613;Open;Fibre;1562;0
Mardi;13/06/2023;20230613;Open;Mobile;467;5568,098351
Mardi;13/06/2023;20230613;Open;Premium;0;0
Mercredi;14/06/2023;20230614;Open;ADSL;1920;0
Mercredi;14/06/2023;20230614;Open;Fibre;1621;0
Mercredi;14/06/2023;20230614;Open;Mobile;459;5780,737131
Mercredi;14/06/2023;20230614;Open;Premium;0;0
Jeudi;15/06/2023;20230615;Open;ADSL;1730;0
Jeudi;15/06/2023;20230615;Open;Fibre;1474;0
Jeudi;15/06/2023;20230615;Open;Mobile;428;5097,645889
Jeudi;15/06/2023;20230615;Open;Premium;0;0
Vendredi;16/06/2023;20230616;Open;ADSL;1755;0
Vendredi;16/06/2023;20230616;Open;Fibre;1502;0
Vendredi;16/06/2023;20230616;Open;Mobile;421;5014,006953
Vendredi;16/06/2023;20230616;Open;Premium;0;0
Samedi;17/06/2023;20230617;Open;ADSL;1095;0
Samedi;17/06/2023;20230617;Open;Fibre;926;0
Samedi;17/06/2023;20230617;Open;Mobile;270;3174,530908
Samedi;17/06/2023;20230617;Open;Premium;0;0
Dimanche;18/06/2023;20230618;Open;ADSL;0;0
Dimanche;18/06/2023;20230618;Open;Fibre;0;0
