Date_Format_1;Flux;Sous_Flux;Abandons;Appels_abandon_sur_sonnerie;Appels_courts;Appels_mis_en_attente;Appels_rotation_sur_sonnerie;Appels_traites;Capacitaire;Commande;Courts;DAbd;DR;Dissuades;Duree_THC;Duree_conversation_appels_entrants;Duree_dispo_CC;Duree_garde_appels_entrants;Duree_log_face_au_client;Duree_log_face_au_client_hors_attente;Duree_log_total;Duree_pas_libre;Duree_pause_entre_appels;Duree_traitement;Duree_wrapup;Presentes;Presentes_ELI;Prevision;Traites;Traites_ELI;Datation;Jour;Mois;Semaine;Annee;Semaine_Format_2;Trimestre
20230103;Open;Mobile;37,0;5,0;43,0;2133,0;7,0;3937,0;5456,28035;698,0;0,0;1046,0;2199,0;10,0;69175,95420000001;1714084,0;901697,1847;522712,0;3768683,9434;2866986,7626;4472596,7556;121908,9117;11465,9578;2358704,9127;41267,0;666,0;0,0;775,5555555555555;611,0;35,0;03/01/2023;Mardi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230103;Open;Premium;20,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;12,0;839,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;432,0;0,0;0,0;409,0;0,0;03/01/2023;Mardi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230104;DART;Convergent;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;2,0;0,0;04/01/2023;Mercredi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230104;DART;Convergents;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;04/01/2023;Mercredi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230104;DART;Mobile;0,0;0,0;0,0;0,0;0,0;4,0;0,0;0,0;0,0;0,0;2,0;0,0;660,1741000000001;4891,0;14806,4285;0,0;33904,1083;19097,6797;43345,2086;749,7768;68,6027;5640,7767;21,0;2,0;0,0;0,0;2,0;0,0;04/01/2023;Mercredi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230104;Open;ADSL;40,0;0,0;0,0;0,0;0,0;0,0;0,0;2363,0;17,0;8667,0;56283,0;35,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1833,0;272,0;2625,5555555555557;1743,0;238,0;04/01/2023;Mercredi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230104;Open;Fibre;36,0;0,0;0,0;0,0;0,0;0,0;0,0;1988,0;7,0;12171,0;47866,0;18,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1902,0;0,0;2208,888888888889;1829,0;0,0;04/01/2023;Mercredi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230104;Open;Mobile;14,0;5,0;44,0;2593,0;9,0;4789,0;5747,363412;685,0;0,0;155,0;7449,0;4,0;81481,6258;1988153,0;717111,5327;617155,0;4010106,2181;3292994,6938;4716950,506;143503,9238;12759,2975;2748811,9374;49263,0;747,0;0,0;761,1111111111112;725,0;35,0;04/01/2023;Mercredi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230104;Open;Premium;4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;35,0;3125,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;485,0;0,0;0,0;478,0;0,0;04/01/2023;Mercredi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230105;DART;Convergent;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0;0,0;3,0;0,0;05/01/2023;Jeudi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230105;DART;Convergents;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;05/01/2023;Jeudi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230105;DART;Mobile;0,0;0,0;0,0;1,0;0,0;5,0;0,0;0,0;0,0;0,0;2,0;0,0;1403,7479;5904,0;15496,5391;109,0;34077,4621;18580,9229;42767,747;1570,3179;56,57;7583,3179;110,0;2,0;0,0;0,0;2,0;0,0;05/01/2023;Jeudi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230105;Open;ADSL;22,0;0,0;0,0;0,0;0,0;0,0;0,0;2130,0;13,0;2131,0;18989,0;12,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1715,0;266,0;2366,666666666667;1667,0;252,0;05/01/2023;Jeudi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230105;Open;Fibre;16,0;0,0;0,0;0,0;0,0;0,0;0,0;1807,0;8,0;962,0;9280,0;7,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1815,0;0,0;2007,7777777777778;1781,0;0,0;05/01/2023;Jeudi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230105;Open;Mobile;7,0;3,0;38,0;2511,0;10,0;4549,0;5033,339178;639,0;0,0;609,0;4975,0;1,0;83206,2525;1928110,0;525997,7814;608514,0;3725858,6297;3199860,8393;4306149,3821;142433,6847;12378,429900000001;2679057,7156;46849,0;670,0;0,0;710,0;655,0;35,0;05/01/2023;Jeudi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230105;Open;Premium;4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;13,0;1029,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;436,0;0,0;0,0;430,0;0,0;05/01/2023;Jeudi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230106;DART;Convergent;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0;0,0;3,0;0,0;06/01/2023;Vendredi;Janvier;S01;2023;2023-Sem01;2023 - T1
