Date_Format_1;Appels_traites;Capacitaire;Chorus;Commande;Courts;DUREE;Den_Satisfaction_Decouverte;Duree_dispo_CC;Duree_log_face_au_client_hors_attente;Duree_log_total;Duree_retrait_formation;Duree_retrait_management;Duree_retrait_pause;Etoile_1;Etoile_2;Etoile_3;Etoile_4;Etoile_5;H_ABS_ABS;H_PLA_ABS;H_REA_ABS;Hagrid;Happy;NbCas;NbScript;NbreAppelTraite;NbreTransfertsAccompAveug;Nbre_Tracage_ND;Presentes;Prevision;Reit1J;Reit1h;Reit7J;Reit7J_7;Satisfaction_Decouverte;Traites;exploitables;exploitables_7;exploitables_Tracage;Datation;Jour;Mois;Semaine;Annee;Semaine_Format_2;Trimestre
20230111,0;4746,0;6072,986208;1,0;4366,0;30,0;906960,0;92,0;1115594,6488;3347993,1757;5136454,8657;11299,0;91028,0;370905,0;4,0;0,0;8,0;11,0;86,0;259,4667;1930,5;1671,0833;7,0;72,0;0,0;0,0;4739,0;253,0;0,0;4836,0;4851,111111111111;417,0;194,0;916,0;916,0;52,0;4735,0;4578,0;4578,0;4578,0;11/01/2023;Mercredi;Janvier;S02;2023;2023-Sem02;2023 - T1
20230112,0;3771,0;5610,42024;2,0;3965,0;18,0;955080,0;148,0;1475075,3748;2765488,1212;4914513,313;44022,0;125622,0;356214,0;8,0;6,0;3,0;19,0;133,0;283,8659;2073,0;1789,1341;7,0;61,0;0,0;0,0;3762,0;216,0;0,0;3866,0;4405,555555555556;326,0;130,0;730,0;730,0;83,0;3764,0;3635,0;3635,0;3635,0;12/01/2023;Jeudi;Janvier;S02;2023;2023-Sem02;2023 - T1
20230113,0;4068,0;5508,484956;4,0;4016,0;22,0;1083180,0;111,0;881628,5675;2765039,9474;4321891,9716;52314,0;150995,0;308573,0;9,0;3,0;6,0;14,0;90,0;331,9834;1995,0;1663,0166;15,0;73,0;0,0;0,0;4058,0;214,0;0,0;4199,0;4462,222222222223;352,0;150,0;852,0;852,0;66,0;4057,0;3899,0;3899,0;3899,0;13/01/2023;Vendredi;Janvier;S02;2023;2023-Sem02;2023 - T1
20230114,0;2764,0;3475,773925;0,0;2501,0;16,0;508320,0;113,0;542847,1972;1900258,5034;2766233,5217;32,0;14027,0;219430,0;11,0;2,0;2,0;21,0;93,0;131,5504;1194,5;1062,9496;1,0;34,0;0,0;0,0;2752,0;151,0;0,0;2830,0;2778,888888888889;184,0;115,0;574,0;574,0;64,0;2751,0;2653,0;2653,0;2653,0;14/01/2023;Samedi;Janvier;S02;2023;2023-Sem02;2023 - T1
20230115,0;0,0;0,0;0,0;0,0;0,0;0,0;52,0;1552,5;160,86360000000002;2074,9455;0,0;0,0;0,0;2,0;2,0;0,0;13,0;44,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;30,0;0,0;0,0;0,0;0,0;15/01/2023;Dimanche;Janvier;S02;2023;2023-Sem02;2023 - T1
20230116,0;5302,0;5718,28264;3,0;5019,0;36,0;1493700,0;131,0;1336062,4987;3706922,0893;5767119,6394;13955,0;82093,0;390865,0;8,0;0,0;5,0;25,0;114,0;274,3165;2601,0;2326,6835;8,0;83,0;0,0;0,0;5283,0;270,0;0,0;5411,0;5576,666666666667;472,0;212,0;1100,0;1100,0;83,0;5285,0;5102,0;5102,0;5075,0;16/01/2023;Lundi;Janvier;S03;2023;2023-Sem03;2023 - T1
20230117,0;4665,0;5617,846015;1,0;4356,0;26,0;992400,0;56,0;1320211,7065;3400177,0437;5493447,0276;35340,0;127926,0;395960,0;5,0;2,0;0,0;9,0;47,0;229,19989999999999;2332,0;2102,8001;9,0;68,0;0,0;0,0;4649,0;205,0;0,0;4785,0;4840,0;423,0;190,0;946,0;946,0;36,0;4649,0;4506,0;4506,0;4405,0;17/01/2023;Mardi;Janvier;S03;2023;2023-Sem03;2023 - T1
20230118,0;4868,0;5978,509136;0,0;4472,0;32,0;1245180,0;118,0;1200634,5966;3363642,407;5340273,6063;8097,0;173505,0;400299,0;8,0;3,0;7,0;9,0;97,0;240,2837;2304,0;2063,7163;5,0;65,0;0,0;0,0;4851,0;251,0;0,0;4975,0;4968,888888888889;426,0;212,0;959,0;959,0;56,0;4860,0;4678,0;4678,0;4597,0;18/01/2023;Mercredi;Janvier;S03;2023;2023-Sem03;2023 - T1
20230119,0;4713,0;5290,493634;3,0;4064,0;22,0;911098,0;140,0;1210596,8451;3187341,3539;5084295,5635;11796,0;135321,0;359980,0;6,0;4,0;3,0;19,0;130,0;209,4329;2115,5;1906,0671;10,0;67,0;0,0;0,0;4698,0;251,0;0,0;4858,0;4515,555555555556;444,0;212,0;968,0;968,0;87,0;4712,0;4523,0;4523,0;4339,0;19/01/2023;Jeudi;Janvier;S03;2023;2023-Sem03;2023 - T1
20230120,0;4234,0;5173,338754;1,0;4113,0;36,0;867900,0;128,0;1422204,1343;2963448,4735;5067711,0645;48774,0;118078,0;372796,0;4,0;3,0;6,0;12,0;113,0;218,5;2085,0;1866,5;7,0;89,0;0,0;0,0;4224,0;258,0;0,0;4290,0;4570,0;338,0;174,0;812,0;812,0;77,0;4227,0;4043,0;4043,0;3904,0;20/01/2023;Vendredi;Janvier;S03;2023;2023-Sem03;2023 - T1
