Date;Matricule;Activite;Campagne;Heures_Connecte;Heures_Pause;Heures_Brief;Heures_FC;Heures_Dispo;Chiffre_Affaire;Appels_traitees;Connexion;Heures_Productives;Heures_Realisees;Appels_Transfert;NB_1Etoile;NB_2Etoile;NB_3Etoile;NB_4Etoile;NB_5Etoile;Appels_reiit_7j;Appels_reiit_1h;Appels_exploitable;Duree_traitement;Ventes;Appels_Recu
19/02/2024;MAA013545;PAL_ORANGE OPEN;PAL_ORANGE OPEN;8,580555555555556;0,6263888888888889;0,0;0,0;0,6291666666666667;101,97;33,0;8,580555555555556;7,278611111111111;9,0;6,0;0,0;0,0;0,0;0,0;3,0;3,0;0,0;30,0;26203,0;1,0;0,0
19/02/2024;MAA014149;PAL_ORANGE OPEN;PAL_ORANGE OPEN;7,748611212836371;0,36944444444444446;0,8391666666666666;0,0;0,21750000529819064;98,88;32,0;7,748611212836371;5,9969444953070745;8,9333;4,0;0,0;0,0;0,0;0,0;0,0;2,0;1,0;29,0;21589,00018310547;2,0;0,0
19/02/2024;MAA014315;PAL_ORANGE OPEN;PAL_ORANGE OPEN;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19/02/2024;MAA014525;PAL_ORANGE OPEN;PAL_ORANGE OPEN;8,520277777777778;0,7913888888888889;0,0022222222222222222;0,0;0,5052777777777778;105,06;34,0;8,520277777777778;7,129166666666666;8,5167;0,0;0,0;0,0;0,0;0,0;1,0;8,0;2,0;31,0;25665,0;4,0;0,0
19/02/2024;MAA014901;PAL_ORANGE OPEN;PAL_ORANGE OPEN;5,368055555555555;0,20833333333333334;0,6044444444444445;0,0;0,5794444444444444;74,16;24,0;5,368055555555555;3,750555555555555;6,8;3,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;23,0;13502,0;2,0;0,0
19/02/2024;MAA014907;PAL_ORANGE OPEN;PAL_ORANGE OPEN;8,033332884046766;0,8338888888888889;1,2691666666666668;0,0;0,3780555612179968;108,14999999999999;35,0;8,033332884046766;5,194166485634114;8,55;1,0;0,0;0,0;0,0;0,0;0,0;5,0;0,0;34,0;18698,999348282814;1,0;0,0
19/02/2024;MAA015049;PAL_ORANGE OPEN;PAL_ORANGE OPEN;7,337777777777778;0,7172222222222222;0,3244444444444444;0,5341666666666667;0,29583333333333334;111,24;36,0;7,337777777777778;5,405833333333334;7,3167;6,0;0,0;0,0;1,0;0,0;1,0;7,0;1,0;35,0;19461,0;6,0;0,0
19/02/2024;MAA015537;PAL_ORANGE OPEN;PAL_ORANGE OPEN;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19/02/2024;MAA015671;PAL_ORANGE OPEN;PAL_ORANGE OPEN;1,8475;0,3705555555555556;0,0;0,0;0,07944444444444444;24,72;8,0;1,8475;1,3975;4,5;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;8,0;5031,0;0,0;0,0
19/02/2024;MAA015703;PAL_ORANGE OPEN;PAL_ORANGE OPEN;8,334722222222222;0,7780555555555555;0,8638888888888889;0,0;0,6016666666666667;105,06;34,0;8,334722222222222;5,9825;8,35;2,0;0,0;0,0;0,0;0,0;1,0;5,0;1,0;31,0;21537,0;2,0;0,0
19/02/2024;MAA016216;PAL_ORANGE OPEN;PAL_ORANGE OPEN;8,8825;0,7075;0,0;0,4866666666666667;0,4922222222222222;120,50999999999999;39,0;8,8825;6,695555555555556;9,0;7,0;0,0;0,0;0,0;0,0;1,0;7,0;3,0;37,0;24104,0;0,0;0,0
19/02/2024;MAA016655;PAL_ORANGE OPEN;PAL_ORANGE OPEN;7,189166480170356;0,5405555555555556;0,0;0,0;0,2202777862548828;92,69999999999999;30,0;7,189166480170356;6,386944037543403;7,9833;6,0;0,0;0,0;0,0;0,0;0,0;5,0;1,0;29,0;22992,99853515625;2,0;0,0
19/02/2024;MAA016681;PAL_ORANGE OPEN;PAL_ORANGE OPEN;5,674444444444444;0,67;0,0;0,0;0,9633333333333334;55,62;18,0;5,674444444444444;3,9841666666666664;6,8167;3,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;15,0;14343,0;0,0;0,0
19/02/2024;MAA016706;PAL_ORANGE OPEN;PAL_ORANGE OPEN;7,680833333333333;0,7925;0,4508333333333333;0,0;0,8180555555555555;114,33;37,0;7,680833333333333;5,118611111111111;7,8333;0,0;0,0;0,0;0,0;0,0;0,0;5,0;0,0;36,0;18427,0;0,0;0,0
